model;size;cluster_prob;pattern_id;cost;time_s;loose_ends;skeins_used;cuts;floats
f1s;100x100;0.05;19;14675.065;0.00833;4;2;0;4893
f1s;100x100;0.05;20;14674.627;0.00804;4;2;0;4870
f1s;25x25;0.25;1;862.565;0.00099;4;2;0;284
f1s;25x25;0.25;2;881.17;0.00085;4;2;0;281
f1s;25x25;0.25;3;866.469;0.00087;4;2;0;275
f1s;25x25;0.25;4;839.215;0.00088;4;2;0;252
f1s;25x25;0.25;5;870.782;0.0007;4;2;0;273
f1s;25x25;0.25;6;867.07;0.00069;4;2;0;270
f1s;25x25;0.25;7;876.246;0.00071;4;2;0;284
f1s;25x25;0.25;8;873.997;0.00071;4;2;0;268
f1s;25x25;0.25;9;859.732;0.00112;4;2;0;266
f1s;25x25;0.25;10;851.684;0.00118;4;2;0;278
f1s;25x25;0.25;11;855.188;0.00208;4;2;0;256
f1s;25x25;0.25;12;845.042;0.00075;4;2;0;260
f1s;25x25;0.25;13;842.355;0.00089;4;2;0;245
f1s;25x25;0.25;14;834.115;0.00071;4;2;0;261
f1s;25x25;0.25;15;872.484;0.00075;4;2;0;290
f1s;25x25;0.25;16;864.861;0.00071;4;2;0;256
f1s;25x25;0.25;17;859.012;0.00066;4;2;0;270
f1s;25x25;0.25;18;875.982;0.00072;4;2;0;274
f1s;25x25;0.25;19;877.075;0.00087;4;2;0;281
f1s;25x25;0.25;20;855.485;0.00068;4;2;0;257
f1s;50x50;0.25;1;3502.005;0.0021;4;2;0;1099
f1s;50x50;0.25;2;3533.977;0.00318;4;2;0;1107
f1s;50x50;0.25;3;3538.172;0.00228;4;2;0;1117
f1s;50x50;0.25;4;3526.847;0.00218;4;2;0;1108
f1s;50x50;0.25;5;3505.676;0.00207;4;2;0;1094
f1s;50x50;0.25;6;3435.244;0.00229;4;2;0;1043
f1s;50x50;0.25;7;3512.083;0.00271;4;2;0;1104
f1s;50x50;0.25;8;3474.88;0.00513;4;2;0;1076
f1s;50x50;0.25;9;3494.325;0.00295;4;2;0;1100
f1s;50x50;0.25;10;3507.812;0.00306;4;2;0;1116
f1s;50x50;0.25;11;3487.581;0.00262;4;2;0;1091
f1s;50x50;0.25;12;3472.588;0.00456;4;2;0;1074
f1s;50x50;0.25;13;3484.914;0.00341;4;2;0;1085
f1s;50x50;0.25;14;3541.199;0.00227;4;2;0;1129
f1s;50x50;0.25;15;3524.16;0.00236;4;2;0;1118
f1s;50x50;0.25;16;3485.074;0.00208;4;2;0;1076
f1s;50x50;0.25;17;3493.752;0.00249;4;2;0;1077
f1s;50x50;0.25;18;3463.937;0.00359;4;2;0;1061
f1s;50x50;0.25;19;3517.165;0.00222;4;2;0;1110
f1s;50x50;0.25;20;3488.531;0.00208;4;2;0;1080
f1s;100x100;0.25;1;14015.916;0.00874;4;2;0;4282
f1s;100x100;0.25;2;14090.924;0.00787;4;2;0;4324
f1s;100x100;0.25;3;14089.301;0.00805;4;2;0;4325
f1s;100x100;0.25;4;14088.417;0.00796;4;2;0;4334
f1s;100x100;0.25;5;14016.423;0.00819;4;2;0;4241
f1s;100x100;0.25;6;14094.725;0.00897;4;2;0;4332
f1s;100x100;0.25;7;14083.154;0.00789;4;2;0;4296
f1s;100x100;0.25;8;14062.898;0.00798;4;2;0;4318
f1s;100x100;0.25;9;14043.301;0.00795;4;2;0;4293
f1s;100x100;0.25;10;14122.716;0.01067;4;2;0;4352
f1s;100x100;0.25;11;14109.402;0.00802;4;2;0;4356
f1s;100x100;0.25;12;14074.48;0.0084;4;2;0;4311
f1s;100x100;0.25;13;14206.181;0.00796;4;2;0;4435
f1s;100x100;0.25;14;14194.959;0.00839;4;2;0;4400
f1s;100x100;0.25;15;14157.632;0.00796;4;2;0;4370
f1s;100x100;0.25;16;14029.616;0.00808;4;2;0;4250
f1s;100x100;0.25;17;14137.485;0.00795;4;2;0;4364
f1s;100x100;0.25;18;14149.611;0.00788;4;2;0;4365
f1s;100x100;0.25;19;14214.758;0.00793;4;2;0;4452
f1s;100x100;0.25;20;14150.243;0.00798;4;2;0;4356
f1s;25x25;0.5;1;755.386;0.00109;4;2;0;206
f1s;25x25;0.5;2;823.358;0.00092;4;2;0;227
f1s;25x25;0.5;3;792.296;0.00091;4;2;0;212
f1s;25x25;0.5;4;818.335;0.00077;4;2;0;228
f1s;25x25;0.5;5;827.802;0.00101;4;2;0;229
f1s;25x25;0.5;6;814.547;0.00117;4;2;0;223
f1s;25x25;0.5;7;791.176;0.00096;4;2;0;223
f1s;25x25;0.5;8;810.626;0.00135;4;2;0;229
f1s;25x25;0.5;9;805.819;0.00131;4;2;0;223
f1s;25x25;0.5;10;829.85;0.00073;4;2;0;245
f1s;25x25;0.5;11;834.571;0.00068;4;2;0;240
f1s;25x25;0.5;12;769.682;0.0007;4;2;0;215
f1s;25x25;0.5;13;774.331;0.00071;4;2;0;221
f1s;25x25;0.5;14;787.734;0.00069;4;2;0;212
f1s;25x25;0.5;15;802.816;0.0011;4;2;0;221
f1s;25x25;0.5;16;796.609;0.00136;4;2;0;234
f1s;25x25;0.5;17;825.662;0.00101;4;2;0;233
f1s;25x25;0.5;18;788.917;0.00122;4;2;0;214
